17:22:28#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
17:22:28#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
17:22:29#0,09528418:0,8457583:-0,1939674/0,03317409:0,5010553:0,02952049:-0,8642752#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,6833776:-0,249703:0,08043319/-0,6813598:-0,1763973:0,1891237:-0,6847373#-0,1969368:-0,2513235:-1,461098/0,1685404:-0,6806329:0,6868005:0,191411
17:22:29#0,09528427:0,8457552:-0,1939645/0,0332005:0,5010683:0,02952255:-0,8642666#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,6168135:0,5896139:0,5604345/-0,6813628:-0,1763865:0,1891129:-0,6847401#-0,2634518:0,5879935:-0,9811245/0,1685295:-0,6806359:0,6868032:0,1914002
17:22:29#0,09528476:0,8457576:-0,1939662/0,03318168:0,5010592:0,02951264:-0,864273#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,6168273:0,5896075:0,5604351/-0,6813607:-0,1763939:0,1891204:-0,6847382#-0,2634718:0,5879871:-0,9811045/0,168537:-0,6806338:0,6868013:0,1914077
17:22:29#0,09528465:0,8457556:-0,1939645/0,03319884:0,5010657:0,02951352:-0,8642685#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,418956:1,04855:-0,05158225/-0,5296708:0,5708451:0,4274687:-0,4591898#0,2892624:1,065168:-0,1862658/-0,4140904:-0,448262:-0,5385171:-0,5810249
17:22:29#0,09528288:0,8457535:-0,1939642/0,03321252:0,5010679:0,02953634:-0,8642659#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189534:1,048546:-0,05157533/-0,5296685:0,5708427:0,4274718:-0,459193#0,289261:1,065165:-0,186257/-0,4140933:-0,4482653:-0,5385147:-0,5810224
17:22:29#0,09528069:0,8457533:-0,1939659/0,033212:0,5010548:0,02955058:-0,864273#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189493:1,04854:-0,05158624/-0,5296606:0,5708345:0,4274813:-0,4592034#0,289253:1,06516:-0,1862655/-0,4141031:-0,4482758:-0,5385074:-0,5810143
17:22:29#0,09528069:0,8457533:-0,1939659/0,033212:0,5010548:0,02955058:-0,864273#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189442:1,04854:-0,05158474/-0,5296673:0,5708416:0,4274731:-0,4591946#0,2892462:1,065156:-0,1862672/-0,4140947:-0,4482667:-0,5385138:-0,5810213
17:22:29#0,09527757:0,845749:-0,1939649/0,03324803:0,5010434:0,02955929:-0,8642779#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189519:1,04854:-0,05158724/-0,5296621:0,5708359:0,4274794:-0,4592014#0,2892497:1,065154:-0,1862664/-0,4141012:-0,4482738:-0,5385088:-0,5810158
17:22:29#0,09527667:0,845747:-0,1939639/0,03326771:0,5010373:0,02955155:-0,8642809#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189407:1,048532:-0,05157906/-0,5296648:0,5708387:0,4274765:-0,4591979#0,2892361:1,065143:-0,1862578/-0,414098:-0,4482703:-0,5385113:-0,5810184
17:22:29#0,09527506:0,8457444:-0,193963/0,03328732:0,5010383:0,02956597:-0,8642792#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189411:1,048527:-0,05157098/-0,5296679:0,5708422:0,4274724:-0,4591935#0,2892357:1,065137:-0,1862542/-0,4140939:-0,4482658:-0,5385146:-0,581022
17:22:29#0,0952766:0,8457432:-0,1939605/0,03329625:0,5010606:0,02957083:-0,8642657#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189261:1,04852:-0,05155581/-0,5296784:0,5708536:0,4274593:-0,4591795#0,289228:1,065131:-0,1862476/-0,4140806:-0,4482516:-0,5385246:-0,5810331
17:22:29#0,09527671:0,8457445:-0,1939615/0,03328422:0,5010592:0,02957465:-0,8642668#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189344:1,048513:-0,05155981/-0,5296664:0,5708407:0,4274742:-0,4591957#0,2892367:1,06513:-0,1862512/-0,4140958:-0,4482678:-0,5385131:-0,5810203
17:22:29#0,09527595:0,8457454:-0,193963/0,03327801:0,5010464:0,02957029:-0,8642747#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189374:1,048515:-0,05157501/-0,5296608:0,5708347:0,427481:-0,4592029#0,2892361:1,065133:-0,1862642/-0,4141027:-0,4482753:-0,5385076:-0,5810145
17:22:29#0,09527595:0,8457454:-0,193963/0,03327801:0,5010464:0,02957029:-0,8642747#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189355:1,048519:-0,05157162/-0,5296673:0,5708416:0,4274731:-0,4591944#0,2892332:1,065133:-0,1862608/-0,4140946:-0,4482667:-0,5385138:-0,5810212
17:22:29#0,09527392:0,8457447:-0,1939643/0,03328354:0,5010291:0,0295722:-0,8642844#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189422:1,04852:-0,05158019/-0,5296589:0,5708324:0,4274836:-0,4592056#0,2892343:1,065133:-0,1862633/-0,4141053:-0,4482782:-0,5385056:-0,5810124
17:22:29#0,09527612:0,8457453:-0,1939628/0,03328011:0,5010439:0,02956256:-0,8642763#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189294:1,048521:-0,05156645/-0,5296745:0,5708497:0,4274639:-0,4591845#0,289225:1,06513:-0,1862555/-0,4140853:-0,4482567:-0,538521:-0,581029
17:22:29#0,09527354:0,8457434:-0,1939634/0,03329094:0,5010399:0,02959024:-0,8642772#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189424:1,04852:-0,05156928/-0,5296652:0,5708394:0,4274758:-0,4591971#0,289237:1,065132:-0,186256/-0,4140973:-0,4482695:-0,5385118:-0,581019
17:22:29#0,09527421:0,845742:-0,1939616/0,03330192:0,5010535:0,0295936:-0,8642688#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189225:1,048516:-0,05156429/-0,5296742:0,5708491:0,4274645:-0,4591852#0,289222:1,065128:-0,1862553/-0,4140861:-0,4482573:-0,5385206:-0,5810285
17:22:29#0,09527357:0,8457393:-0,1939596/0,0333254:0,5010586:0,02959708:-0,8642648#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,418928:1,04851:-0,05155745/-0,5296701:0,5708448:0,4274696:-0,4591907#0,2892289:1,065124:-0,1862508/-0,4140912:-0,4482629:-0,5385166:-0,5810242
17:22:29#0,09526892:0,8457346:-0,1939595/0,03336208:0,5010428:0,02962238:-0,8642717#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189288:1,048503:-0,05156437/-0,5296597:0,5708334:0,4274824:-0,4592044#0,2892258:1,06512:-0,1862537/-0,4141041:-0,4482771:-0,5385066:-0,5810134
17:22:29#0,09527116:0,8457366:-0,1939593/0,03334666:0,5010513:0,02961:-0,8642679#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,418907:1,048493:-0,05155186/-0,5296715:0,5708461:0,4274681:-0,4591888#0,2892057:1,065107:-0,1862477/-0,4140895:-0,4482611:-0,5385178:-0,5810255
17:22:29#0,0952666:0,8457314:-0,1939586/0,03338426:0,5010476:0,02965238:-0,8642671#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189247:1,048494:-0,0515562/-0,5296657:0,5708397:0,4274754:-0,4591968#0,2892214:1,065109:-0,1862544/-0,4140968:-0,448269:-0,538512:-0,5810193
17:22:29#0,09526647:0,8457304:-0,1939579/0,03339209:0,5010504:0,029654:-0,8642651#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4188997:1,048483:-0,05155066/-0,529669:0,5708433:0,4274713:-0,4591924#0,2891976:1,065098:-0,1862485/-0,4140926:-0,4482645:-0,5385153:-0,5810228
17:22:29#0,0952666:0,8457293:-0,1939568/0,03339917:0,5010623:0,02966598:-0,8642575#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189034:1,048478:-0,05153921/-0,5296731:0,5708477:0,4274658:-0,4591865#0,2892036:1,065093:-0,1862452/-0,4140873:-0,4482587:-0,5385196:-0,5810276
17:22:29#0,0952666:0,8457293:-0,1939568/0,03339917:0,5010623:0,02966598:-0,8642575#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,418903:1,048473:-0,05154237/-0,5296674:0,5708417:0,4274732:-0,4591943#0,2892041:1,065091:-0,1862482/-0,4140947:-0,4482667:-0,5385139:-0,5810214
17:22:29#0,09526775:0,8457277:-0,1939542/0,03341137:0,5010831:0,02967244:-0,8642447#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4188961:1,048473:-0,05153048/-0,5296777:0,5708529:0,4274601:-0,4591805#0,2892041:1,065091:-0,1862435/-0,4140816:-0,4482526:-0,538524:-0,5810323
