19:16:13#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
19:16:13#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
19:16:14#0,09512176:0,8456916:-0,1905284/0,03406248:0,5047663:0,03312085:-0,8619476#-0,03365248:0,9425721:-0,06275547/-0,6747766:-0,1067495:0,01774614:-0,7300453#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,67693:-0,249703:0,08433974/-0,6821564:-0,1734891:0,1862297:-0,6854799#-0,1902654:-0,2513235:-1,464609/0,1656235:-0,6814393:0,6875097:0,1885201
19:16:14#0,09512009:0,8456925:-0,1905307/0,03405159:0,5047548:0,03313619:-0,8619542#-0,033665:0,9425745:-0,06276155/-0,6747589:-0,1068032:0,01773476:-0,7300541#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,6096129:0,5892029:0,5680373/-0,6821538:-0,1734987:0,1862393:-0,6854775#-0,2576262:0,5875825:-0,9808872/0,1656332:-0,6814367:0,6875074:0,1885297
19:16:14#0,0951186:0,84569:-0,1905298/0,0340746:0,5047482:0,03313463:-0,8619573#-0,03366795:0,9425751:-0,06276274/-0,6747546:-0,1068138:0,01772878:-0,7300567#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,6096188:0,5892042:0,5680223/-0,6821525:-0,1735035:0,1862441:-0,6854763#-0,2576419:0,5875838:-0,9808902/0,165638:-0,6814353:0,6875062:0,1885344
19:16:14#0,09511943:0,8456901:-0,1905291/0,03407449:0,5047533:0,03312942:-0,8619545#-0,03367445:0,9425767:-0,06276488/-0,6747479:-0,1068402:0,01771977:-0,7300592#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,00294137:0,740281:-0,007308036/0,639289:0,0002678633:-0,7616163:0,1060677#0,2895172:1,065019:-0,1851436/-0,4140914:-0,448263:-0,5385164:-0,5810238
19:16:14#0,09511638:0,8456892:-0,1905311/0,03408071:0,5047312:0,03313933:-0,8619668#-0,0336774:0,9425772:-0,06276649/-0,6747391:-0,1068444:0,01770384:-0,7300671#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002966031:0,7402902:-0,00730288/0,6392543:0,0002848394:-0,7616422:0,1060901#0,2895224:1,065019:-0,1851541/-0,4141085:-0,4482815:-0,5385032:-0,5810095
19:16:14#0,09511796:0,8456911:-0,1905314/0,03406633:0,5047336:0,03312752:-0,8619664#-0,03368169:0,9425786:-0,06276655/-0,6747363:-0,1068557:0,01768778:-0,7300686#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002947837:0,7402897:-0,007315487/0,6392812:0,0002832264:-0,7616172:0,1061084#0,289508:1,065015:-0,1851519/-0,4140932:-0,448265:-0,5385152:-0,5810223
19:16:14#0,09511691:0,8456905:-0,1905318/0,03407507:0,50472:0,03311741:-0,8619744#-0,03368512:0,9425786:-0,06277049/-0,674724:-0,1068703:0,01768593:-0,7300777#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002972543:0,7402993:-0,007306129/0,6392694:0,0002965778:-0,7616249:0,1061242#0,2895189:1,065018:-0,1851552/-0,4141029:-0,4482754:-0,5385076:-0,5810144
19:16:14#0,09511656:0,8456914:-0,190533/0,03406743:0,5047117:0,03311504:-0,8619796#-0,03368765:0,9425788:-0,06277263/-0,6747165:-0,106879:0,01768049:-0,7300835#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002965912:0,7402961:-0,007303447/0,6392654:0,0002937578:-0,7616256:0,1061431#0,2895128:1,065016:-0,1851511/-0,4141001:-0,4482725:-0,5385099:-0,5810168
19:16:14#0,09511571:0,8456921:-0,1905345/0,03406262:0,504698:0,03311021:-0,861988#-0,03368887:0,9425781:-0,06277627/-0,6747073:-0,106889:0,01768891:-0,7300903#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002972186:0,7403008:-0,007305235/0,6392581:0,0002949759:-0,7616297:0,1061568#0,2895119:1,065017:-0,1851571/-0,4141031:-0,4482759:-0,5385073:-0,581014
19:16:14#0,09511274:0,8456897:-0,190535/0,03408112:0,5046846:0,03312429:-0,8619946#-0,03369597:0,9425802:-0,06277746/-0,6747029:-0,1069164:0,01767626:-0,7300907#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002972111:0,740301:-0,007305175/0,639248:0,0002881438:-0,7616373:0,1061659#0,2895089:1,065017:-0,1851578/-0,4141029:-0,4482756:-0,5385075:-0,5810143
19:16:14#0,09511304:0,8456894:-0,1905344/0,03408467:0,5046886:0,0331235:-0,8619922#-0,03369859:0,9425804:-0,06277978/-0,674696:-0,1069276:0,01767442:-0,7300956#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,00296101:0,7402978:-0,007308543/0,6392543:0,0003041141:-0,7616285:0,1061884#0,2894965:1,065009:-0,185149/-0,414092:-0,4482638:-0,538516:-0,5810233
