"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),Intersection (%)
"Veridical""",1,T1,11:14:47:134,39.30751,28.00114,0,0
"Veridical""",1,T1,11:15:16:472,49.82542,32.16648,0,0
"Veridical""",1,T1,11:15:35:563,39.15575,42.33316,13.54461,34.6
"Veridical""",1,T1,11:15:49:402,19.51276,68.16598,10.92379,56
"Veridical""",1,T1,11:16:02:830,41.23241,33.83339,19.06946,46.2
"Veridical""",1,T1,11:16:15:759,29.63404,36.16678,0,0
"Veridical""",1,T1,11:16:33:798,26.97528,44.99934,0,0
"Veridical""",1,T1,11:16:58:188,27.39395,25.33308,11.52531,42.1
"Veridical""",1,T1,11:17:15:186,115.8215,43.1662,25.0033,21.6
"Veridical""",1,T1,11:17:30:588,32.51355,50.99958,24.01375,73.9
"Veridical""",1,T1,11:17:47:668,6.417824,31.00215,0,0
"Veridical""",1,T1,11:18:07:197,34.87644,58.16689,25.73258,73.8
"Veridical""",1,T1,11:18:27:171,40.91706,39.33266,13.28386,32.5
"Veridical""",1,T1,11:18:43:625,97.4852,54.16692,30.08916,30.9
"Veridical""",1,T1,11:19:03:270,32.49135,24.66656,11.84737,36.5
