Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","5","T3","19:23:09:998","19:23:34:266","00:00:24.2680371"
Approach","5","T3","19:23:35:930","19:23:57:024","00:00:21.0942291"
Approach","5","T3","19:24:03:172","19:24:22:399","00:00:19.2272070"
Approach","5","T3","19:24:23:619","19:24:44:601","00:00:20.9816840"
Approach","5","T3","19:24:45:729","19:25:04:610","00:00:18.8814588"
Approach","5","T3","19:25:05:661","19:25:21:160","00:00:15.4996512"
Approach","5","T3","19:25:22:329","19:25:44:611","00:00:22.2815597"
Approach","5","T3","19:25:46:063","19:26:03:717","00:00:17.6534747"
Approach","5","T3","19:26:05:087","19:26:29:965","00:00:24.8784831"
Approach","5","T3","19:26:31:482","19:27:00:414","00:00:28.9311655"
Approach","5","T3","19:27:06:798","19:27:24:943","00:00:18.1454791"
Approach","5","T3","19:27:28:029","19:27:52:535","00:00:24.5055311"
Approach","5","T3","19:27:53:775","19:28:13:012","00:00:19.2371964"
Approach","5","T3","19:28:14:549","19:28:32:879","00:00:18.3296404"
Approach","5","T3","19:28:33:907","19:28:48:704","00:00:14.7970307"
Approach","5","T3","19:28:50:110","19:29:00:176","00:00:10.0661358"
