"Condition""",ParticipantID,Test," ""Task Start Time",Task End Time,Delta Time
"Veridical""",6,T1,19:11:34:780,19:12:07:031,00:00:32.2507818
"Veridical""",6,T1,19:12:08:020,19:12:32:579,00:00:24.5580948
"Veridical""",6,T1,19:12:33:352,19:12:52:083,00:00:18.7307392
"Veridical""",6,T1,19:12:52:600,19:13:13:824,00:00:21.2237984
"Veridical""",6,T1,19:13:14:510,19:13:31:111,00:00:16.6011456
"Veridical""",6,T1,19:13:31:822,19:13:48:661,00:00:16.8389809
"Veridical""",6,T1,19:14:55:786,19:15:12:306,00:00:15.3215906
"Veridical""",6,T1,19:15:13:306,19:15:28:591,00:00:15.4248452
"Veridical""",6,T1,19:15:39:736,19:15:59:661,00:00:20.4284560
"Veridical""",6,T1,19:16:05:759,19:16:26:767,00:00:21.7940901
"Veridical""",6,T1,19:17:32:481,19:17:45:478,00:00:23.3652457
"Veridical""",6,T1,19:18:06:440,19:18:37:110,00:00:31.6889816
"Veridical""",6,T1,19:18:34:772,19:18:54:772,00:00:19.2280118
"Veridical""",6,T1,19:18:55:878,19:19:14:878,00:00:19.2932886
"Veridical""",6,T1,19:19:17:538,19:19:37:567,00:00:20.1289359
"Veridical""",6,T1,19:19:57:628,19:20:20:523,00:00:23.3262830
