"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",10,T2,17:15:28:843,67.34984,630.518,42.27213,62.8,
"Veridical""",10,T2,17:16:09:047,49.73092,94.6667,9.057897,18.2,
"Veridical""",10,T2,17:16:38:437,56.95514,118.0014,45.15876,79.3,
"Veridical""",10,T2,17:17:10:444,34.67735,94.83318,15.68115,45.2,
"Veridical""",10,T2,17:17:43:118,56.915,73.66795,38.03083,66.8,
"Veridical""",10,T2,17:18:15:016,82.15041,69.00012,35.04365,42.7,
"Veridical""",10,T2,17:18:41:339,48.55529,94.83337,36.00356,74.1,
"Veridical""",10,T2,17:19:31:908,104.2504,101.8332,67.91672,65.1,
"Veridical""",10,T2,17:20:07:463,115.011,68.83405,10.00955,8.7,
"Veridical""",10,T2,17:20:42:577,82.04412,63.66784,30.24305,36.9,
"Veridical""",10,T2,17:21:30:527,59.82521,39.99947,15.678,26.2,
"Veridical""",10,T2,17:22:08:675,24.91891,15.33253,20.20707,81.1,
"Veridical""",10,T2,17:22:38:649,128.7936,58.83385,43.72193,33.9,
"Veridical""",10,T2,17:23:05:715,57.17582,54.50021,28.9909,50.7,
"Veridical""",10,T2,17:23:36:481,142.5433,85.82822,27.22317,19.1,
"Veridical""",10,T2,17:24:03:401,112.0898,36.16635,10.91261,9.7,
