"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",9,T1,17:02:20:958,80.10208,12.33428,3.047132,3.8
"Veridical""",9,T1,17:02:45:514,311.529,11.66671,5.996858,1.9
"Veridical""",9,T1,17:03:08:721,24.14583,19.66705,11.54071,47.8
"Veridical""",9,T1,17:03:28:337,16.99105,19.66643,6.682868,39.3
"Veridical""",9,T1,17:03:47:571,29.40898,171.1664,7.072777,24
"Veridical""",9,T1,17:04:11:436,49.30117,9.168562,0,0
"Veridical""",9,T1,17:04:34:630,34.98132,11.49992,0,0
"Veridical""",9,T1,17:04:57:953,21.7928,17.50062,7.890167,36.2
"Veridical""",9,T1,17:05:34:300,69.38915,10.49999,8.529639,12.3
"Veridical""",9,T1,17:06:04:188,62.96709,23.33242,0,0
"Veridical""",9,T1,17:06:30:527,59.82521,39.99947,15.678,26.2
"Veridical""",9,T1,17:07:08:675,24.91891,15.33253,20.20707,81.1
"Veridical""",9,T1,17:07:38:649,128.7936,58.83385,43.72193,33.9
"Veridical""",9,T1,17:08:05:715,57.17582,54.50021,28.9909,50.7
"Veridical""",9,T1,17:08:36:481,142.5433,85.82822,27.22317,19.1
"Veridical""",9,T1,17:09:03:401,112.0898,36.16635,10.91261,9.7
