00:00:00:000","14:07:58:890","737604.14:07:58.8904807"
14:08:00:917","14:08:15:364","00:00:14.4473652"
14:08:16:819","14:08:19:519","00:00:02.7001340"
14:08:21:153","14:08:23:800","00:00:02.6463430"
14:08:24:778","14:08:27:281","00:00:02.5030437"
14:08:27:794","14:08:29:819","00:00:02.0246822"
14:08:30:350","14:08:32:420","00:00:02.0706644"
14:08:33:553","14:08:35:536","00:00:01.9830396"
14:08:36:015","14:08:38:084","00:00:02.0690329"
14:08:39:153","14:08:40:446","00:00:01.2936296"
14:08:43:500","14:08:45:483","00:00:01.9834996"
14:08:46:148","14:08:48:440","00:00:02.2928134"
14:08:49:264","14:08:51:045","00:00:01.7810968"
14:08:51:730","14:08:53:399","00:00:01.6690846"
14:08:54:770","14:08:56:575","00:00:01.8053241"
14:08:57:064","14:08:58:474","00:00:01.4104876"
