"V_Local(cm3)","V_Remote(cm3)","V_Union(cm3)","V_Intersection(cm3)","Intersection (%)"
17:24:02:570","47.62706","47.62971","47.62706","47.62971","100.0"
17:24:08:699","11.56441","11.56462","11.56441","11.56462","100.0"
17:24:14:312","8.649736","8.650076","8.649736","8.650076","100.0"
17:24:19:950","12.43021","12.43083","12.43021","12.43083","100.0"
17:24:25:140","42.90701","42.99388","42.90701","42.99388","100.2"
17:24:31:893","50.42622","61.75565","50.42622","61.75565","122.5"
17:24:35:911","10.45208","10.45052","10.45208","10.45052","100.0"
17:24:40:526","11.98804","11.98792","11.98804","11.98792","100.0"
17:24:44:119","18.70452","18.70499","18.70452","18.70499","100.0"
17:24:47:234","16.91011","16.91074","16.91011","16.91074","100.0"
17:24:50:298","8.680008","8.679991","8.680008","8.679991","100.0"
17:24:55:447","12.61153","12.61091","12.61153","12.61091","100.0"
17:24:59:560","17.23288","17.23093","17.23288","17.23093","100.0"
17:25:04:719","33.32896","33.33076","33.32896","33.33076","100.0"
17:25:09:346","14.21777","14.217","14.21777","14.217","100.0"
17:25:13:492","9.310736","9.309497","9.310736","9.309497","100.0"
17:25:18:130","2.355642","2.360581","2.355642","2.360581","100.2"
