"Task Start Time","Task End Time","Delta Time"
17:23:51:058","17:24:02:506","00:00:11.4478272"
17:24:04:070","17:24:08:509","00:00:04.4394537"
17:24:10:374","17:24:14:242","00:00:03.8686587"
17:24:15:285","17:24:19:535","00:00:04.2495522"
17:24:20:532","17:24:25:048","00:00:04.5162749"
17:24:25:928","17:24:31:404","00:00:05.4763401"
17:24:32:422","17:24:35:727","00:00:03.3043734"
17:24:36:653","17:24:40:387","00:00:03.7339985"
17:24:40:985","17:24:43:834","00:00:02.8487895"
17:24:44:353","17:24:46:802","00:00:02.4498061"
17:24:47:428","17:24:50:199","00:00:02.7717712"
17:24:51:006","17:24:55:094","00:00:04.0887724"
17:24:55:907","17:24:59:183","00:00:03.2763159"
17:24:59:841","17:25:04:520","00:00:04.6792854"
17:25:05:357","17:25:09:091","00:00:03.7331917"
17:25:09:948","17:25:13:295","00:00:03.3467684"
17:25:14:538","17:25:17:780","00:00:03.2422194"
