"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
14:14:55:960",""
14:14:56:005","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
14:14:56:725","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876251","-0.409703","-0.5720974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4113234","-0.5755103","0.4900758","-0.4930298","0.5098298","0.506775"
14:14:56:774","-0.296406","1.719616","-0.3195634","-0.1018562","-0.07545655","-0.00363234","-0.9919266","-0.2407993","1.003286","0.3226681","-0.4951411","0.4076914","-0.4325278","-0.633674","-0.640131","1.026942","0.3160307","0.6517859","-0.03213693","-0.09850127","0.7512922","0.8732475","-0.409703","-0.7081268","-0.4544271","-0.5331947","0.5417702","-0.4644186","-0.8813934","-0.4113234","-0.4388574","0.5278879","-0.4525326","0.4705689","0.5432435"
14:14:56:806","-0.2961821","1.719339","-0.3191084","-0.1030367","-0.07505071","-0.003448921","-0.9918361","-0.2407983","1.003286","0.3226666","-0.4951326","0.4076924","-0.4325293","-0.633679","-0.6401235","1.026944","0.3160261","0.6517636","-0.03215058","-0.09853926","0.7513059","-0.3080883","1.686884","-0.1546175","-0.9809697","0.09175385","0.1417755","-0.09581108","-0.6616166","1.696257","-0.09318489","0.7327777","0.004241416","0.6636893","0.1501191"
14:14:56:832","-0.2960013","1.719223","-0.3188031","-0.1035197","-0.07526633","-0.003291858","-0.99177","-0.2408022","1.003287","0.3226678","-0.4951543","0.4076772","-0.432531","-0.6336706","-0.6401176","1.026945","0.3160242","0.6517559","-0.03216754","-0.09855977","0.7513092","-0.2472264","1.037593","-0.005371988","-0.9808815","0.09170128","0.1423769","-0.09587435","-0.6124173","1.034658","0.06670147","0.7331941","0.004326593","0.6632193","0.1501596"
14:14:56:861","-0.2957517","1.719051","-0.3182751","-0.1041382","-0.07558189","-0.003236339","-0.9916815","-0.2408012","1.003287","0.3226659","-0.4951468","0.4076764","-0.432532","-0.6336763","-0.6401093","1.026947","0.3160215","0.6517432","-0.03218747","-0.09859345","0.7513149","-0.2471778","1.037569","-0.005279034","-0.9808657","0.09166649","0.1425044","-0.09587912","-0.6123766","1.034602","0.06701064","0.7332711","0.00433081","0.6631289","0.1501832"
14:14:56:889","-0.295597","1.718884","-0.3179563","-0.1047181","-0.07567418","-0.003026762","-0.991614","-0.2408009","1.003285","0.3226746","-0.4951822","0.4076847","-0.4325082","-0.6336595","-0.6401089","1.026947","0.316019","0.651733","-0.03218691","-0.09859878","0.7513231","-0.2472809","1.037513","-0.004975915","-0.9808993","0.09169546","0.142263","-0.09586411","-0.6125274","1.034491","0.06733766","0.7331122","0.004276966","0.6632963","0.1502199"
14:14:56:917","-0.2953982","1.718774","-0.3175443","-0.1055412","-0.07585698","-0.003108925","-0.9915125","-0.2408074","1.003288","0.3226703","-0.4951685","0.4076726","-0.4325424","-0.6336547","-0.6401044","1.026947","0.3160132","0.651711","-0.03219867","-0.09861789","0.7513392","-0.2472142","1.037403","-0.004894227","-0.9808831","0.09167299","0.1424091","-0.09583446","-0.6124593","1.034367","0.067577","0.7332","0.004303256","0.6631969","0.1502308"
14:14:56:943","-0.2952353","1.718763","-0.3172549","-0.1060401","-0.07597855","-0.002994103","-0.9914504","-0.2408103","1.00329","0.3226686","-0.4951541","0.4076744","-0.4325631","-0.6336507","-0.640102","1.026946","0.3160077","0.6516946","-0.03221093","-0.09862017","0.7513526","-0.2471757","1.037457","-0.004729122","-0.9808985","0.09166338","0.142297","-0.09585285","-0.6124488","1.034385","0.06780627","0.7331389","0.00429314","0.6632565","0.1502655"
14:14:56:972","-0.29507","1.718704","-0.3168381","-0.1065589","-0.0760924","-0.003077954","-0.9913858","-0.2408106","1.003288","0.3226759","-0.4951697","0.4076924","-0.4325543","-0.6336329","-0.6400918","1.026949","0.3160043","0.651678","-0.03223487","-0.09866316","0.7513603","-0.2471668","1.03749","-0.00463751","-0.9808986","0.09165808","0.1422898","-0.09586819","-0.6124489","1.034395","0.06797954","0.7331413","0.004302616","0.6632491","0.1502876"
14:14:57:006","-0.2949073","1.718587","-0.3165795","-0.107125","-0.07548166","-0.00304706","-0.9913715","-0.2408098","1.003287","0.3226789","-0.4951727","0.4077029","-0.4325492","-0.6336274","-0.6400894","1.026949","0.3160021","0.6516676","-0.03223777","-0.09867751","0.7513673","-0.2476575","1.037474","-0.004350096","-0.9810089","0.09172686","0.1415493","-0.09576914","-0.6130641","1.034358","0.06781822","0.7326488","0.004168868","0.6637829","0.150336"
14:14:57:037","-0.2948262","1.718547","-0.3164551","-0.1075553","-0.07514711","-0.002948371","-0.9913507","-0.2408097","1.003288","0.3226749","-0.4951523","0.4077023","-0.4325617","-0.633635","-0.6400927","1.026947","0.3160001","0.6516569","-0.03222202","-0.09867689","0.7513774","-0.2472514","1.037347","-0.004155368","-0.9809721","0.09170455","0.1418111","-0.0957818","-0.6126353","1.034337","0.06783351","0.7328321","0.00420993","0.6635767","0.1503518"
14:14:57:064","-0.2946669","1.718514","-0.3158801","-0.1078717","-0.07407452","-0.002923009","-0.9913971","-0.2408114","1.003289","0.3226725","-0.4951644","0.4076816","-0.4325609","-0.6336395","-0.6400816","1.026949","0.3159913","0.6516227","-0.03225117","-0.09872074","0.7514001","-0.2478376","1.037354","-0.003967434","-0.9810771","0.09178381","0.1410637","-0.09573306","-0.613334","1.034403","0.06725466","0.7323418","0.00411635","0.6641175","0.150357"
14:14:57:100","-0.2946316","1.718452","-0.3155425","-0.1081909","-0.07328576","-0.002923295","-0.9914209","-0.2408111","1.003288","0.3226756","-0.49518","0.4076828","-0.4325496","-0.6336342","-0.640075","1.02695","0.3159875","0.6516053","-0.03226528","-0.09875125","0.7514104","-0.2472537","1.037285","-0.003223121","-0.9810339","0.09174187","0.1413693","-0.09576669","-0.6127381","1.034532","0.0675514","0.7325368","0.004152394","0.6638874","0.1504202"
14:14:57:127","-0.2945842","1.718372","-0.3153885","-0.1084402","-0.07238271","-0.003040102","-0.9914597","-0.2408127","1.003289","0.3226774","-0.4951859","0.4076841","-0.4325521","-0.6336271","-0.640083","1.026948","0.3159882","0.6516036","-0.03223423","-0.09873752","0.7514151","-0.2473142","1.037117","-0.002833635","-0.9810493","0.09174754","0.1412762","-0.0957408","-0.6128473","1.034505","0.06736892","0.7324711","0.004128389","0.6639519","0.1504564"
14:14:57:153","-0.2945439","1.718322","-0.3149991","-0.1087525","-0.07069782","-0.003365391","-0.991546","-0.2408137","1.003291","0.3226699","-0.4951751","0.4076608","-0.4325635","-0.6336428","-0.6400715","1.02695","0.3159809","0.6515735","-0.0322628","-0.09878453","0.7514338","-0.2477214","1.036966","-0.002452463","-0.9811596","0.09181461","0.140515","-0.09566367","-0.6133684","1.034509","0.06662259","0.7319669","0.004038163","0.664512","0.1504403"
14:14:57:184","-0.2945569","1.718347","-0.3148252","-0.108606","-0.06930312","-0.003519685","-0.9916599","-0.240812","1.003289","0.3226741","-0.4951817","0.4076743","-0.4325524","-0.6336365","-0.640066","1.026952","0.3159823","0.651571","-0.03226758","-0.09881752","0.7514314","-0.2471214","1.036855","-0.001724184","-0.9811187","0.09178509","0.1407822","-0.09571903","-0.6127627","1.034699","0.06650782","0.7321463","0.004064901","0.6643006","0.1505007"
14:14:57:213","-0.2945947","1.71833","-0.3147582","-0.1085703","-0.06818932","-0.003686957","-0.9917405","-0.2408132","1.003289","0.322677","-0.4951906","0.4076786","-0.4325512","-0.6336276","-0.6400664","1.026951","0.3159804","0.6515586","-0.03225748","-0.09883025","0.7514409","-0.2467686","1.036685","-0.001249373","-0.981079","0.09176303","0.1410677","-0.09572711","-0.612394","1.03478","0.06631935","0.732352","0.004090416","0.6640698","0.150518"
14:14:57:241","-0.2946468","1.718407","-0.3147474","-0.109116","-0.06685603","-0.003778528","-0.991771","-0.2408121","1.003289","0.3226727","-0.4951805","0.4076694","-0.4325534","-0.6336398","-0.6400593","1.026953","0.3159761","0.6515405","-0.03227444","-0.09886037","0.751452","-0.2468198","1.036545","-0.0008933544","-0.9811115","0.09177774","0.1408539","-0.09569541","-0.612487","1.03484","0.0658277","0.7322174","0.004067972","0.6642153","0.1505307"
14:14:57:269","-0.2946283","1.718472","-0.3147485","-0.1084401","-0.06515521","-0.004411807","-0.9919557","-0.2408091","1.003288","0.3226748","-0.4951786","0.407682","-0.4325429","-0.6336405","-0.6400623","1.02695","0.3159716","0.6515186","-0.03225619","-0.09886701","0.7514708","-0.2469195","1.036643","-0.0006058514","-0.9811578","0.09181631","0.1405165","-0.09568041","-0.6126474","1.035178","0.06503305","0.7319891","0.0040069","0.6644584","0.1505699"
14:14:57:298","-0.29468","1.718578","-0.3148809","-0.1085087","-0.06437498","-0.004193007","-0.992","-0.2408041","1.003285","0.3226805","-0.495186","0.4077036","-0.432518","-0.6336377","-0.6400555","1.026951","0.3159646","0.6514908","-0.03227205","-0.09889742","0.7514903","-0.2457579","1.036397","-0.0001526773","-0.9810358","0.09174628","0.1413645","-0.09574965","-0.6113619","1.035228","0.06508827","0.7325737","0.004164044","0.6638103","0.1505804"
