"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
14:21:19:383","0","0","-0.5","0","0","0","1","0.0558","-0.0157","-0.6087","0","0","0","1","-0.0558","-0.0157","-0.6087","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
14:21:19:453","0","0","-0.5","0","0","0","1","0.0558","-0.0157","-0.6087","0","0","0","1","-0.0558","-0.0157","-0.6087","0","0","0","1","0.8876251","-0.249703","-0.5720974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.2513235","-0.5755103","0.4900758","-0.4930298","0.5098298","0.506775"
14:21:20:348","-0.03910377","1.375596","0.3577911","-0.01732862","0.1304414","-0.05365683","-0.9898514","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","0.8643155","-0.249703","-0.3434268","-0.5560244","-0.4264254","0.4368705","-0.5640413","-0.8505146","-0.2513235","-0.8023697","0.4199685","-0.5544729","0.5689703","0.4387016"
14:21:20:394","-0.03907544","1.375582","0.357814","-0.01746562","0.1304641","-0.05342544","-0.9898584","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.03316479","1.303025","0.6465683","-0.9191836","0.08263631","0.3676412","-0.1145136","-0.3555596","1.318865","0.5370966","0.6196709","0.002044091","0.7744237","0.1275616"
14:21:20:420","-0.0390454","1.375574","0.3578322","-0.0175288","0.1302912","-0.05340216","-0.9898814","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3248419","0.9463602","0.4816713","-0.9191103","0.08261363","0.3678239","-0.11453","-0.694135","0.940123","0.3647219","0.6198248","0.002069466","0.7743007","0.1275611"
14:21:20:445","-0.03902309","1.375562","0.3578521","-0.01763987","0.1300882","-0.05345127","-0.9899035","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3248203","0.9463614","0.4816757","-0.9190978","0.08260974","0.3678553","-0.1145328","-0.6941732","0.9401256","0.3647933","0.6198514","0.00207385","0.7742795","0.127561"
14:21:20:465","-0.03900358","1.375559","0.3578613","-0.01750838","0.129781","-0.05346694","-0.9899453","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3247719","0.9463688","0.4816947","-0.9190636","0.08259892","0.3679411","-0.1145405","-0.6942095","0.9401339","0.3649256","0.6199236","0.002085779","0.7742215","0.1275608"
14:21:20:484","-0.03897901","1.375578","0.3578624","-0.01755681","0.1292365","-0.05369664","-0.9900032","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3246971","0.9463373","0.4818519","-0.9189705","0.08257005","0.3681729","-0.1145613","-0.694284","0.9401016","0.3653341","0.620119","0.002117969","0.774065","0.1275603"
14:21:20:503","-0.03894684","1.375539","0.357895","-0.01711393","0.1283971","-0.05439714","-0.990082","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3245779","0.9463879","0.4819121","-0.9188652","0.08253739","0.3684356","-0.1145849","-0.6943983","0.9401621","0.365712","0.6203402","0.002154393","0.7738878","0.1275597"
14:21:20:526","-0.03890934","1.375546","0.3578805","-0.01713227","0.1278965","-0.05641061","-0.9900337","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3245679","0.9462789","0.4817553","-0.918972","0.08257052","0.3681696","-0.1145611","-0.6945698","0.9400481","0.3655186","0.6201162","0.002117464","0.7740674","0.1275603"
