"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:28:48:252","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
18:28:48:356","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
18:28:49:201","0.07366445","1.237086","0.225318","0.2952139","0.08265685","0.05039365","-0.9505141","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.8807828","-0.399703","-0.3742399","-0.5325695","-0.4551616","0.465176","-0.5411183","-0.8724214","-0.4013234","-0.6527101","0.4489696","-0.530925","0.5463763","0.466924"
18:28:49:268","0.07371617","1.23712","0.2253215","0.2951538","0.08227466","0.0496649","-0.9506043","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.9458808","0.9651395","0.3776655","-0.5324839","-0.4552612","0.465274","-0.5410346","-0.8074259","0.9635191","0.09984082","0.4490702","-0.530839","0.5462937","0.4670217"
18:28:49:321","0.0738022","1.237105","0.2253007","0.2950231","0.08180621","0.04914089","-0.9507126","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.9462007","0.9651629","0.377032","-0.5323164","-0.4554558","0.4654655","-0.5408708","-0.8073054","0.9635425","0.100469","0.4492667","-0.530671","0.5461321","0.4672126"
18:28:49:347","0.07382043","1.237083","0.2252749","0.2949834","0.08169296","0.04907463","-0.950738","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2493187","0.8204771","0.4916137","-0.9901765","0.1077114","0.04079131","-0.07927859","-0.5010499","0.8248913","0.5826995","0.6914974","-0.01882415","0.709442","0.1347937"
18:28:49:373","0.07384834","1.237053","0.2252373","0.2948677","0.08165184","0.04905435","-0.9507785","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2493252","0.8204536","0.4914889","-0.9901792","0.1077166","0.04072603","-0.07927141","-0.5011469","0.8248726","0.5825555","0.691451","-0.01883297","0.7094873","0.1347924"
18:28:49:403","0.07387803","1.237024","0.2252155","0.2948001","0.08170561","0.04915803","-0.9507895","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.249309","0.8204356","0.4913817","-0.990182","0.1077219","0.04065977","-0.07926425","-0.5011611","0.8248552","0.5824193","0.6914034","-0.01884194","0.7095336","0.134791"
18:28:49:431","0.07389996","1.23702","0.2251686","0.2944185","0.08179718","0.04951265","-0.9508814","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2492617","0.820429","0.4914088","-0.9901798","0.1077178","0.04071177","-0.07926994","-0.5010992","0.8248448","0.5824418","0.6914405","-0.01883491","0.7094975","0.1347921"
18:28:49:473","0.07395063","1.23701","0.2251581","0.2943292","0.08195347","0.04949564","-0.9508965","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2494051","0.8204439","0.4911212","-0.9901887","0.1077348","0.0404991","-0.07924686","-0.501289","0.8248593","0.5820446","0.6912882","-0.01886387","0.7096458","0.1347881"
