"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
18:29:56:024",""
18:29:56:121","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
18:29:56:904","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
18:29:56:954","0.05123142","1.218725","0.2193965","0.1857312","0.2249705","0.005352867","-0.956485","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.8002119","-0.399703","-0.1021303","-0.6000585","-0.3628455","0.3740973","-0.6068973","-0.7756072","-0.4013234","-0.9194827","0.3558929","-0.5987144","0.6110982","0.3760856"
18:29:56:998","0.05169955","1.218801","0.2197496","0.1846219","0.2223253","0.006112882","-0.9573134","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.8759207","0.9493824","0.6117241","-0.5988804","-0.3647502","0.3759803","-0.6057545","-0.7050024","0.947762","-0.1957119","0.3578108","-0.5975301","0.6099772","0.3779645"
18:29:57:026","0.05342809","1.218796","0.2215517","0.1767961","0.2116307","0.008450869","-0.9611889","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.8855202","0.9494735","0.5907283","-0.5939838","-0.3725287","0.3836693","-0.6010022","-0.715693","0.9478531","-0.1756835","0.3656442","-0.592608","0.605314","0.3856358"
18:29:57:061","0.05398369","1.218806","0.2220822","0.1735906","0.2079792","0.009034189","-0.9625639","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2468838","0.8181041","0.4978666","-0.9899935","0.107372","0.04501709","-0.07973746","-0.4439926","0.8133888","0.5198661","0.6945193","-0.01824857","0.706484","0.1348727"
18:29:57:106","0.05573969","1.218758","0.2237012","0.1653678","0.1981624","0.01069","-0.9660594","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.24174","0.8178266","0.5019122","-0.9896421","0.106793","0.05217113","-0.0805113","-0.4404137","0.8133873","0.5281891","0.6996072","-0.01727332","0.7014459","0.1350011"
18:29:57:145","0.05806175","1.218689","0.225668","0.1543704","0.1850156","0.0128254","-0.9704507","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2369531","0.8177618","0.5014533","-0.9894459","0.1064995","0.0557684","-0.08089917","-0.4402265","0.8139843","0.5340248","0.7021526","-0.0167825","0.6988982","0.135063"
18:29:57:187","0.06199116","1.218409","0.2285975","0.1368853","0.164793","0.0164879","-0.9766442","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2291557","0.8175887","0.5026214","-0.9889876","0.105874","0.06337965","-0.08171612","-0.4380342","0.8146887","0.5446218","0.7075091","-0.01574274","0.6934749","0.1351881"
18:29:57:222","0.06763473","1.217683","0.2324331","0.1134536","0.138184","0.02172275","-0.9836471","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.220468","0.8174456","0.5007018","-0.9885707","0.1053595","0.06957857","-0.08237834","-0.4375178","0.8158261","0.5550496","0.7118428","-0.01489489","0.6890256","0.1352841"
18:29:57:261","0.07110421","1.217039","0.2345987","0.1003438","0.1230779","0.02506997","-0.9869926","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2211102","0.8171878","0.4859045","-0.9893957","0.106427","0.05665535","-0.08099462","-0.4503669","0.8171434","0.5465756","0.7027788","-0.01666131","0.6982683","0.135078"
18:29:57:308","0.07657942","1.215867","0.2382109","0.08269775","0.1003624","0.02898874","-0.9910843","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2131643","0.8162364","0.4876873","-0.9889449","0.1058191","0.06404255","-0.08178701","-0.4472696","0.8170459","0.5578847","0.7079741","-0.01565213","0.6930003","0.1351987"
18:29:57:342","0.08026075","1.214758","0.240948","0.07008783","0.08527228","0.03171135","-0.9933835","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2126595","0.8159846","0.4781437","-0.9894373","0.106487","0.05592164","-0.08091561","-0.455848","0.8179587","0.5544525","0.7022607","-0.01676152","0.6987892","0.1350655"
18:29:57:381","0.08474895","1.212741","0.2447904","0.05238392","0.07056762","0.03296915","-0.9955848","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2101613","0.8153526","0.4748208","-0.9894818","0.1065517","0.05512895","-0.08083033","-0.4586442","0.8180765","0.557037","0.7017008","-0.01686969","0.6993515","0.1350521"
18:29:57:428","0.08592238","1.211636","0.2469751","0.04291698","0.07092549","0.03429723","-0.9959676","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2140289","0.8149841","0.4626648","-0.9902018","0.1077609","0.0401714","-0.07921109","-0.4696757","0.8183882","0.5433577","0.6910535","-0.01890852","0.7098745","0.1347818"
18:29:57:472","0.0860381","1.211022","0.2487577","0.03971069","0.07707705","0.03674327","-0.9955562","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2158706","0.814698","0.4588668","-0.9904128","0.1082064","0.03458274","-0.07860155","-0.4726743","0.8180881","0.5360703","0.6870362","-0.01966877","0.7137632","0.134673"
18:29:57:517","0.08565263","1.210693","0.2499015","0.04030225","0.08274322","0.03760773","-0.9950452","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2157783","0.8143599","0.4609303","-0.9903949","0.1081657","0.03509448","-0.07865755","-0.4707482","0.817481","0.5356141","0.687405","-0.01959912","0.7134081","0.1346831"
18:29:57:559","0.08490974","1.210288","0.2507987","0.03787765","0.08853598","0.03804122","-0.9946253","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2165604","0.8141434","0.4622872","-0.9904028","0.1081839","0.0348656","-0.07863256","-0.4698821","0.8170283","0.5346074","0.6872399","-0.01963027","0.713567","0.1346784"
18:29:57:598","0.08372988","1.209566","0.2521361","0.03497258","0.0957216","0.03964557","-0.9940033","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2181521","0.8144907","0.4617525","-0.9904497","0.1082919","0.03350543","-0.07848378","-0.4698534","0.8171237","0.5311405","0.6862594","-0.01981528","0.7145099","0.1346514"
18:29:57:635","0.08226337","1.208929","0.2533026","0.03243071","0.1029842","0.04064463","-0.993323","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2194578","0.8143235","0.4631876","-0.9904531","0.1082997","0.03340703","-0.0784731","-0.4687926","0.8166261","0.52947","0.6861884","-0.01982864","0.7145782","0.1346495"
18:29:57:675","0.08083212","1.208336","0.2541818","0.03010065","0.1099863","0.04234659","-0.9925743","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2207164","0.8144339","0.464797","-0.9904435","0.1082772","0.03368917","-0.07850392","-0.4674722","0.8163854","0.5282097","0.6863919","-0.01979033","0.7143826","0.1346552"
18:29:57:717","0.07940232","1.20782","0.254957","0.02843923","0.1151015","0.04304317","-0.9920133","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2213314","0.8145462","0.4671668","-0.9903785","0.1081294","0.03555103","-0.07870736","-0.4653438","0.8161528","0.5286044","0.6877337","-0.01953708","0.713091","0.134692"
18:29:57:749","0.07797083","1.207097","0.2555356","0.02585415","0.1192578","0.04322576","-0.9915849","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2221744","0.8146141","0.4689395","-0.9903457","0.1080573","0.03645805","-0.07880632","-0.4641437","0.8159527","0.5286822","0.6883866","-0.01941372","0.7124607","0.1347099"
18:29:57:773","0.07690006","1.206457","0.2556615","0.02283777","0.1209325","0.04152856","-0.9915287","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2221423","0.8146169","0.4710321","-0.9902539","0.1078653","0.03886684","-0.07906891","-0.4621922","0.8157277","0.5302198","0.6901172","-0.01908604","0.7107843","0.1347567"
18:29:57:813","0.07611721","1.205686","0.2558237","0.02082998","0.1223135","0.0401821","-0.991459","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2222644","0.8147744","0.4711688","-0.9902405","0.1078382","0.0392072","-0.0791061","-0.4614822","0.8157599","0.5297357","0.6903619","-0.01903966","0.7105471","0.1347633"
18:29:57:840","0.07437249","1.203755","0.2569398","0.0125012","0.1261574","0.03600596","-0.9912778","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2237268","0.8144724","0.4698488","-0.9903438","0.1080536","0.03650679","-0.07881182","-0.4626609","0.8153551","0.5263139","0.6884215","-0.01940703","0.7124271","0.1347109"
18:29:57:866","0.07500425","1.203441","0.256618","0.0129594","0.1231223","0.03760181","-0.9915942","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2200397","0.8142042","0.4743376","-0.9900502","0.1074738","0.04375247","-0.07960021","-0.4566123","0.8148415","0.532348","0.6936162","-0.01842092","0.7073705","0.1348493"
18:29:57:895","0.07453012","1.201585","0.2572057","0.005278128","0.1219248","0.03171084","-0.9920186","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2208201","0.8142673","0.4725718","-0.990144","0.1076489","0.04157155","-0.07936334","-0.4587791","0.8150029","0.5306634","0.6920565","-0.01871792","0.7088966","0.1348084"
18:29:57:926","0.07381989","1.198228","0.2581887","-0.005756657","0.1190728","0.02156876","-0.9926345","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2185127","0.8138813","0.4724606","-0.9900739","0.1075171","0.04321451","-0.07954182","-0.4565332","0.8146266","0.5316489","0.6932317","-0.01849407","0.7077473","0.1348392"
18:29:57:954","0.07301543","1.191388","0.2609098","-0.02979142","0.1098547","-0.0001162543","-0.9935011","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2126316","0.8126535","0.4748332","-0.989763","0.1069834","0.04982659","-0.0802582","-0.4509274","0.8134842","0.5379605","0.6979437","-0.01759301","0.7031012","0.1349598"
18:29:57:980","0.0732924","1.187069","0.2622792","-0.04721596","0.1061157","-0.008905056","-0.9931923","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2100897","0.81094","0.4675505","-0.9900119","0.1074049","0.04460931","-0.07969327","-0.4525447","0.8121485","0.5317541","0.6942283","-0.01830419","0.7067701","0.1348652"
