00:00:00:000","18:27:46:033","737592.18:27:46.0331483"
18:28:23:721","18:28:39:312","00:00:15.5916083"
18:28:23:721","18:28:42:732","00:00:19.0110424"
18:28:23:721","18:29:01:675","00:00:37.9541853"
18:28:23:721","18:29:21:897","00:00:58.1767591"
18:28:23:721","18:29:25:386","00:01:01.6655258"
18:28:23:721","18:29:27:121","00:01:03.4003335"
18:29:34:920","18:29:37:887","00:00:02.9667629"
18:29:34:920","18:29:48:031","00:00:13.1111011"
18:29:34:920","18:30:09:011","00:00:34.0905799"
18:29:34:920","18:30:12:564","00:00:37.6437662"
18:29:34:920","18:30:13:542","00:00:38.6223337"
